Especie,Modelo,Pregunta,Precision_Biologica,Coherencia_Espacial,Causalidad_Matematica,Promedio_Total
Sorocea trophoides,llama-3.3-70b-versatile,Describe el nicho ecológico de la especie y menciona cuál es su principal limitante ambiental.,5,4,5,4.67
Sorocea trophoides,qwen/qwen3-32b,Describe el nicho ecológico de la especie y menciona cuál es su principal limitante ambiental.,5,4,5,4.67
Sorocea trophoides,moonshotai/kimi-k2-instruct-0905,Describe el nicho ecológico de la especie y menciona cuál es su principal limitante ambiental.,5,5,5,5.0
Sorocea trophoides,Baseline Dual (Visión OpenRouter + Texto Groq),Describe el nicho ecológico de la especie y menciona cuál es su principal limitante ambiental.,4,5,3,4.0
Arachnothryx buddleioides,llama-3.3-70b-versatile,"Basado en el modelo espacial, ¿cuál ecosistema o zona de vida es el refugio óptimo para su supervivencia?",4,5,4,4.33
Arachnothryx buddleioides,qwen/qwen3-32b,"Basado en el modelo espacial, ¿cuál ecosistema o zona de vida es el refugio óptimo para su supervivencia?",5,5,5,5.0
Arachnothryx buddleioides,moonshotai/kimi-k2-instruct-0905,"Basado en el modelo espacial, ¿cuál ecosistema o zona de vida es el refugio óptimo para su supervivencia?",5,5,5,5.0
Arachnothryx buddleioides,Baseline Dual (Visión OpenRouter + Texto Groq),"Basado en el modelo espacial, ¿cuál ecosistema o zona de vida es el refugio óptimo para su supervivencia?",4,5,2,3.67
Pleuropetalum sprucei,llama-3.3-70b-versatile,¿Qué variables bioclimáticas restringen más la distribución espacial de esta planta?,4,4,5,4.33
Pleuropetalum sprucei,qwen/qwen3-32b,¿Qué variables bioclimáticas restringen más la distribución espacial de esta planta?,5,4,5,4.67
Pleuropetalum sprucei,moonshotai/kimi-k2-instruct-0905,¿Qué variables bioclimáticas restringen más la distribución espacial de esta planta?,5,4,5,4.67
Pleuropetalum sprucei,Baseline Dual (Visión OpenRouter + Texto Groq),¿Qué variables bioclimáticas restringen más la distribución espacial de esta planta?,4,5,3,4.0
